OID_;total_area;roman_5km_buffer_area;modern_5km_buffer_area;roman_buffer_area_percentage;modern_buffer_area_percentage;mean_elevation;mean_tpi_5km;road_length;road_density;site_count;site_density;modern_population
31;10997,7001953;749,1939697;369,2090149;6,812278534800000;3,357147479340000;472,2500000;0,0144784;70115,100157399996533;6,375432946180000;0;0,000000000000000;8815,0000000
32;10997,7001953;651,5180054;429,7630005;5,924129534360000;3,907753374400000;591,4320068;0,1325570;65007,734741300002497;5,911029905050000;0;0,000000000000000;6,0000000
33;10997,7001953;807,7340088;843,7520142;7,344571996360000;7,672076881310000;200,2680054;-0,0699786;85263,567474499999662;7,752854320470000;0;0,000000000000000;34137,0000000
34;10997,7001953;1588,1600342;504,8649902;14,440837684000000;4,590641509300000;162,1139984;-0,1459780;161135,174296999990474;14,651715489200001;0;0,000000000000000;194,0000000
36;10997,7001953;2328,1999512;1589,2500000;21,169880155200001;14,450748536300001;207,5839996;-0,0263031;247349,326846999989357;22,491004705900000;5;0,000454640507670;1238210,0000000
37;10997,7001953;2455,2600098;4324,1000977;22,325213145999999;39,318221272300001;257,9469910;-0,1356210;301620,142608999973163;27,425746951899999;22;0,002000418233750;6648140,0000000
38;10997,7001953;548,1649780;1512,6700439;4,984360077950000;13,754421534300000;472,5520020;0,0891772;67665,479941199999303;6,152693630440000;3;0,000272784304602;46,0000000
39;9599,5898438;4397,9902344;2544,1999512;45,814355675199998;26,503215164200000;477,1730042;-0,1293520;612469,895800999947824;63,801673380799997;38;0,003958502458800;245852,0000000
40;67,3327026;53,8378983;51,9416008;79,958023584599999;77,141713855999996;61,6857986;-10,5949001;14794,800891599999886;219,726823849999988;0;0,000000000000000;1067,0000000
41;10900,2998047;1475,9399414;498,5679932;13,540360979500001;4,573892480920000;470,9970093;-0,1939040;146078,616597999993246;13,401339340700000;0;0,000000000000000;164,0000000
42;10900,2998047;361,6390076;598,8120117;3,317697806920000;5,493537081070000;537,6900024;0,2252640;6502,916414649999751;0,596581427224000;1;0,000091740595939;22062,0000000
43;10900,2998047;2082,2199707;3187,1699219;19,102410098899998;29,239286799300000;512,8319702;-0,0426655;227640,689462000009371;20,883892511300001;1;0,000091740595939;40195,0000000
44;10900,2998047;1233,2700195;2240,6499023;11,314092654600000;20,555855733300000;490,5660095;-0,0787600;133590,181642000010470;12,255642875500000;0;0,000000000000000;712,0000000
45;10900,2998047;1095,8699951;0,0000000;10,053576642399999;0,000000000000000;536,1199951;-0,0913772;114851,911162999997032;10,536582774899999;0;0,000000000000000;1259,0000000
46;10900,2998047;644,4060059;0,0000000;5,911819100450000;0,000000000000000;468,9159851;0,1425590;66038,492209999996703;6,058410630280000;0;0,000000000000000;158,0000000
47;10900,2998047;33,7743988;39,9132004;0,309848347375000;0,366166078856000;175,5130005;0,1110070;1832,682618170000069;0,168131395559000;0;0,000000000000000;0,0000000
48;10900,2998047;1844,2700195;1777,7600098;16,919443066500001;16,309276273300000;208,5229950;-0,0629903;197340,521111999987625;18,104137009799999;9;0,000825665363454;49064,0000000
49;10900,2998047;1108,2600098;291,0159912;10,167243375200000;2,669798046160000;172,8040009;0,0507852;112960,724906999996165;10,363084220699999;1;0,000091740595939;7952,0000000
50;10900,2998047;2366,8601074;3920,5900879;21,713715676000000;35,967727109700000;109,4960022;-0,1253200;278985,912749000010081;25,594333894300000;54;0,004953992180730;5399680,0000000
51;10900,2998047;1379,5999756;3360,6699219;12,656532391800001;30,830986138800000;337,9700012;0,0331738;147226,836375000013504;13,506677707300000;7;0,000642184171576;73,0000000
52;10897,7998047;1338,7800293;1203,2399902;12,284865324100000;11,041127675300000;620,6090088;0,4754980;143712,064767000003485;13,187254982000001;2;0,000183523283217;186,0000000
53;6530,4399414;1531,6800537;1672,9699707;23,454469644500001;25,618028581699999;303,0509949;-2,5559101;155930,178268999996362;23,877438529100001;4;0,000612516160609;63364,0000000
54;4614,6899414;58,3340988;1303,4300537;1,264095736800000;28,245235763600000;498,3750000;-1,2206000;7504,165575820000413;1,626147297240000;1;0,000216699282660;57105,0000000
55;10799,5996094;850,8900146;0,0000000;7,878903342950000;0,000000000000000;643,2020264;0,0649822;85141,813921499997377;7,883793566530000;0;0,000000000000000;49,0000000
56;10799,5996094;1086,0999756;0,0000000;10,056854095200000;0,000000000000000;623,4890137;0,1920100;108631,261954999994487;10,058823093799999;0;0,000000000000000;89,0000000
57;10799,5996094;1192,5400391;2900,5700684;11,042446777600000;26,858125979400000;502,3880005;-0,0359139;120670,029404000000795;11,173565110600000;0;0,000000000000000;1017,0000000
58;10799,5996094;1442,9599609;1908,6099854;13,361235722900000;17,672969872800000;462,0429993;0,0926877;151965,007224000000861;14,071355672499999;2;0,000185192050848;35573,0000000
59;10799,5996094;2137,0100098;1959,0000000;19,787863319600000;18,139561380600000;394,4150085;0,0869738;230353,428096999996342;21,329811884600002;1;0,000092596025424;18057,0000000
60;10799,5996094;3169,9799805;1817,3699951;29,352754686499999;16,828123827300001;232,5249939;-0,1659320;345770,738325999991503;32,016996077000002;1;0,000092596025424;9083,0000000
61;10799,5996094;2175,8200684;1255,0999756;20,147229036799999;11,621726924900001;216,4360046;-0,0029441;222964,709214000002248;20,645645883099998;0;0,000000000000000;382,0000000
62;10799,5996094;1519,6300049;2173,9699707;14,071169856699999;20,130097867800000;136,8919983;0,0443712;163867,791654000000563;15,173506202200000;1;0,000092596025424;4385,0000000
63;10799,5996094;1006,6300049;153,4969940;9,320993752480000;1,421321156070000;98,2546997;-0,0745634;101479,908240000004298;9,396636163429999;0;0,000000000000000;1739,0000000
64;10799,5996094;1912,6700439;1303,0100098;17,710564401700001;12,065354799200000;63,1724014;-0,0144258;217457,068956000002800;20,135660285699998;3;0,000277788076272;53731,0000000
65;10799,5996094;624,0789795;0,0000000;5,778723305170000;0,000000000000000;98,9843979;0,0393172;62418,687180300003092;5,779722345090000;0;0,000000000000000;592,0000000
66;10799,5996094;24,7180996;0,0000000;0,228879777845000;0,000000000000000;88,8658981;0,0467520;800,543606876000013;0,074127156175400;0;0,000000000000000;0,0000000
67;10799,5996094;2231,1201172;863,7990112;20,659285509499998;7,998435520520000;73,9649963;-0,1109080;268964,718370000016876;24,905063900399998;8;0,000740768203393;29160,0000000
68;10799,5996094;2239,3200684;1227,3499756;20,735213798299998;11,364772954399999;32,9846992;0,1066300;240885,627860000007786;22,305051721600002;0;0,000000000000000;0,0000000
69;10799,5996094;1075,9300537;1106,5400391;9,962684660800001;10,246120959000001;10,3448000;-0,2014310;109705,073290999993333;10,158253755600001;1;0,000092596025424;0,0000000
70;10799,5996094;388,2909851;557,1519775;3,595420192900000;5,159005867730000;163,1009979;0,0611162;39039,064110799998161;3,614862172940000;0;0,000000000000000;0,0000000
71;10799,5996094;2661,2099609;1706,2299805;24,641746520200002;15,799011465100000;204,1320038;0,1983910;309226,079407999990508;28,633105910699999;0;0,000000000000000;225,0000000
72;10799,5996094;3295,3300781;3059,9299316;30,513446769500000;28,333734974599999;77,2873001;-0,3422400;345805,382735999999568;32,020204011600001;80;0,007407682033930;6690620,0000000
73;10799,5996094;1898,8299561;4090,7299805;17,582410688700001;37,878533727499999;296,4540100;0,0819630;206760,869853999989573;19,145234761699999;19;0,001759324483060;2696330,0000000
74;8042,3901367;1887,2500000;2218,8000488;23,466282633900001;27,588813911199999;505,6279907;0,0289788;245020,857881000003545;30,466174074600001;1;0,000124341145232;20919,0000000
75;9517,7197266;2287,4399414;1671,8800049;24,033487086400001;17,565972238299999;750,9069824;0,4387780;280402,446197999990545;29,461095120900001;5;0,000525335914867;17074,0000000
76;8721,0498047;1790,0799561;1867,1800537;20,525968732500001;21,410037730900001;831,4149780;-2,4615400;226606,694813000009162;25,983878075200000;7;0,000802655661505;24777,0000000
77;10695,5996094;1087,4000244;2514,5200195;10,166798161199999;23,509855560900000;371,9960022;0,0205969;116332,222917000006419;10,876643401600001;1;0,000093496394454;9663,0000000
78;10695,5996094;1619,7600098;1398,6500244;15,144172079400001;13,076873438600000;485,8349915;0,0133016;166243,938403000007384;15,543208840500000;3;0,000280489183362;6056,0000000
79;10695,5996094;374,6640015;1006,2399902;3,502973326870000;9,407981104230000;606,7630005;-0,0024134;38207,385627800002112;3,572252797710000;0;0,000000000000000;65,0000000
80;10695,5996094;1060,0799561;1284,1300049;9,911365372410000;12,006152546699999;545,4539795;0,0951493;116414,733460000003106;10,884357839800000;2;0,000186992788908;4209,0000000
81;10695,5996094;1704,9699707;2199,5500488;15,940854491300000;20,564999898699998;374,6279907;0,0740479;177759,613546999986283;16,619882946200001;2;0,000186992788908;2059,0000000
82;10695,5996094;2208,4699707;1027,9599609;20,648397952100002;9,611054999069999;237,4609985;-0,1398880;228012,271642999985488;21,318325289899999;0;0,000000000000000;729,0000000
83;10695,5996094;1264,6600342;1457,3900146;11,824115340600001;13,626071168299999;298,1180115;0,1421620;149967,018658999993932;14,021375531600000;0;0,000000000000000;230,0000000
84;10695,5996094;1266,2800293;873,6049805;11,839261710800001;8,167891585090000;225,8269958;0,0060490;129390,671050999997533;12,097561219199999;0;0,000000000000000;850,0000000
85;10101,9003906;486,3070068;815,6849976;4,814015066780000;8,074569793969999;160,1569977;0,0098465;55742,619459599998663;5,518032974400000;3;0,000296973825121;1327,0000000
86;9431,4902344;1982,9799805;1902,0999756;21,025097107600001;20,167544346800000;36,3662987;-0,0245830;251084,244815000012750;26,621905825599999;15;0,001590416745100;42136,0000000
87;10695,5996094;1025,6999512;1259,2099609;9,589924722619999;11,773159120800001;20,5792007;0,0012106;101403,963008999999147;9,480904924690000;1;0,000093496394454;836,0000000
88;10695,5996094;326,5249939;0,0000000;3,052890962840000;0,000000000000000;26,9060001;-0,0620455;32580,014498799999274;3,046113886900000;0;0,000000000000000;128,0000000
89;10695,5996094;528,9190063;0,0000000;4,945202005170000;0,000000000000000;61,9668999;-0,0269650;52940,132749600001262;4,949711534000000;0;0,000000000000000;0,0000000
90;10695,5996094;1027,4100342;0,0000000;9,605913382160001;0,000000000000000;71,9602966;0,0383021;104496,626271999994060;9,770057789040001;0;0,000000000000000;46,0000000
91;10695,5996094;2999,6201172;930,1199951;28,045366568900000;8,696286595300000;89,2220001;-0,1733040;333093,228184000006877;31,143015852200001;1;0,000093496394454;1711,0000000
92;10695,5996094;2801,6799316;697,3179932;26,194697202200000;6,519671814870000;163,0959930;0,1348050;317721,998100999975577;29,705861261199999;0;0,000000000000000;206,0000000
93;10695,5996094;2677,4899902;759,4559937;25,033566027399999;7,100639715300000;119,8040009;0,0801942;284089,490549999987707;26,561343068700001;1;0,000093496394454;511,0000000
94;10695,5996094;1481,1300049;0,0000000;13,848031517400001;0,000000000000000;-3,2409000;0,0101991;154830,963707999995677;14,476136856500000;0;0,000000000000000;1244,0000000
95;10695,5996094;1201,4200439;128,8289948;11,232844233400000;1,204504651030000;57,2420998;0,0758818;129005,324452000000747;12,061532701599999;0;0,000000000000000;683,0000000
96;10695,5996094;925,4959717;1030,9100342;8,653053643370001;9,638637120220000;137,5149994;0,0238762;100390,280633000002126;9,386129277409999;0;0,000000000000000;2606,0000000
97;10695,5996094;2782,7099609;5058,1899414;26,017334815900000;47,292252198500002;126,7979965;0,2207170;293765,339512999984436;27,466000059999999;6;0,000560978366724;3253630,0000000
98;10695,5996094;2902,8400879;7281,4902344;27,140508189399998;68,079308316600006;172,6699982;-0,1658120;362684,530880999984220;33,909695961600001;19;0,001776431494630;27809200,0000000
99;9265,0996094;2032,2199707;4574,3100586;21,934140553100001;49,371407232000003;203,3959961;-1,2472900;139863,902464000013424;15,095779685100000;2;0,000215863842195;1048390,0000000
100;10695,5996094;108,1419983;2123,5400391;1,011088692930000;19,854333713100001;477,6400146;0,3839270;10599,966942499999277;0,991058690455000;0;0,000000000000000;19975,0000000
101;10665,7001953;3475,5400391;3006,3300781;32,586140388499999;28,186898404000001;537,5040283;0,2919810;392320,037109000026248;36,783336295300003;6;0,000562550970881;80173,0000000
102;10695,5000000;3938,1000977;4351,9199219;36,820158923400001;40,689261108600000;878,2849731;-0,3284630;666459,076517999987118;62,312101025499999;50;0,004674863260250;333032,0000000
103;10588,4003906;71,7300034;934,3439941;0,677439468765000;8,824222353430001;298,3550110;-0,0804932;9056,294989169999099;0,855303412703000;0;0,000000000000000;184,0000000
104;10588,4003906;2465,6699219;2366,8798828;23,286519501600001;22,353517013800001;460,9249878;0,0270972;246868,518008999992162;23,314996496300001;2;0,000188885943695;3412,0000000
105;10588,4003906;342,1010132;91,0982971;3,230903635700000;0,860359391016000;612,2579956;0,1123690;45197,474715099997411;4,268583832090000;1;0,000094442971847;8310,0000000
