Id,landArea,romanArea,modArea,rAreaPrc,mAreaPrc,meanElev,meanTpi,roadLength,roadDens,siteCount,siteDens,modernPop,mPopDens
0,2778.6999512,366.0010071,236.6040039,13.1716995,8.5149202,497.2879944,-0.0263933,63691.103291599996737,22.921187753600002,2,0.000719761051983,21588.0000000,7.7691002
0,2778.6999512,531.5460205,532.5419922,19.1292992,19.1651001,458.2860107,-0.0691027,53859.021157399998629,19.382812863500000,1,0.000359880525991,27985.0000000,10.0712996
0,2778.6999512,80.8124008,78.9222031,2.9082799,2.8402600,461.4339905,0.0340608,8166.502142059999642,2.938965086390000,0,0.000000000000000,4350.0000000,1.5654800
0,2767.1499023,0.0000000,39.0303993,0.0000000,1.4104900,613.8590088,0.2808940,0.000000000000000,0.000000000000000,0,0.000000000000000,308.0000000,0.1113060
0,2767.1499023,484.7640076,520.3590088,17.5184994,18.8048992,514.9920044,0.0586518,48999.402918500003580,17.707534701000000,1,0.000361382662773,3936.0000000,1.4224000
0,2767.1499023,828.3270264,356.7210083,29.9342995,12.8913002,469.5169983,-0.0199576,79987.757169200005592,28.906188674999999,0,0.000000000000000,11726.0000000,4.2375698
0,2767.1499023,883.1240234,586.8909912,31.9146004,21.2091999,461.8160095,0.0425569,95329.920058699994115,34.450580352700001,1,0.000361382662773,3907.0000000,1.4119200
0,2767.1499023,831.1400146,532.3109741,30.0359993,19.2367992,456.7189941,-0.0047393,86702.377944599997136,31.332736210299998,0,0.000000000000000,14105.0000000,5.0973001
0,2767.1499023,788.8519897,556.1879883,28.5077000,20.0997009,459.9089966,-0.0284544,89807.916940299997805,32.455024161899999,1,0.000361382662773,6324.0000000,2.2853799
0,2767.1499023,383.8290100,568.1790161,13.8709002,20.5330009,455.5360107,-0.0171688,38582.462123999997857,13.943032898700000,1,0.000361382662773,2479.0000000,0.8958680
0,2755.3999023,710.8740234,713.4160156,25.7992992,25.8915997,502.5660095,-0.2117070,71707.744956499998807,26.024442004000001,2,0.000725847452596,41874.0000000,15.1970997
0,2755.3999023,522.4869995,509.7090149,18.9622993,18.4986000,494.4559937,-0.1010470,57808.697079700003087,20.980147756600001,6,0.002177542357790,25757.0000000,9.3478298
0,2755.3999023,624.3920288,542.8439941,22.6606998,19.7010994,488.3410034,0.0114845,67661.342429500000435,24.555906520800001,3,0.001088771178890,15669.0000000,5.6866498
0,2755.3999023,990.7570190,1001.0700073,35.9569016,36.3311996,466.4429932,-0.0089605,110022.151142000002437,39.929649067800000,0,0.000000000000000,25851.0000000,9.3819399
0,2755.3999023,441.3439941,8.3480902,16.0174007,0.3029720,468.4859924,0.0166709,47771.436068399998476,17.337387588599999,0,0.000000000000000,2218.0000000,0.8049650
0,2755.3999023,131.0520020,0.0000000,4.7561898,0.0000000,472.7799988,0.0141810,9536.798847559999558,3.461130574710000,0,0.000000000000000,0.0000000,0.0000000
0,2755.3999023,577.2000122,0.0000000,20.9480000,0.0000000,463.9790039,-0.0143985,60578.301450600003591,21.985302895299998,0,0.000000000000000,0.0000000,0.0000000
0,2755.3999023,35.9463997,366.7579956,1.3045800,13.3105001,503.2210083,-0.0209820,1076.203546429999960,0.390579801326000,0,0.000000000000000,0.0000000,0.0000000
0,2743.4299316,740.7910156,81.7361984,27.0023994,2.9793401,458.0679932,-0.0436582,83544.160294999994221,30.452449079000001,0,0.000000000000000,0.0000000,0.0000000
0,2743.4299316,399.8139954,245.6450043,14.5734997,8.9539404,411.7929993,-0.0272089,56622.978791800000181,20.639484223299998,0,0.000000000000000,19650.0000000,7.1625700
0,2743.4299316,286.1459961,198.2259979,10.4301996,7.2254801,379.3609924,-0.1128780,44344.759159499997622,16.163984597599999,0,0.000000000000000,12129.0000000,4.4211102
0,2743.4299316,668.2659912,450.8489990,24.3588009,16.4337997,383.2770081,-0.0587620,65392.260862399998587,23.835950795799999,1,0.000364507213567,116829.0000000,42.5849991
0,2743.4299316,990.9739990,939.9249878,36.1217003,34.2608986,422.4400024,-0.0032672,107126.821869999999763,39.048499338200003,0,0.000000000000000,17525.0000000,6.3879900
0,2743.4299316,18.2889996,369.2090149,0.6666470,13.4579000,463.7709961,0.0415947,0.000000000000000,0.000000000000000,0,0.000000000000000,8815.0000000,3.2131300
0,2743.4299316,22.6532001,0.0000000,0.8257250,0.0000000,492.4970093,-0.0190150,0.000000000000000,0.000000000000000,0,0.000000000000000,0.0000000,0.0000000
0,2743.4299316,615.5720215,0.0000000,22.4379997,0.0000000,591.6619873,0.0904353,63931.531285299999581,23.303504327900001,0,0.000000000000000,0.0000000,0.0000000
0,2731.2600098,16.5606995,38.2919998,0.6063390,1.4019901,481.5610046,0.1062830,0.000000000000000,0.000000000000000,0,0.000000000000000,0.0000000,0.0000000
0,2731.2600098,673.4229736,460.2760010,24.6560993,16.8521004,463.6229858,-0.1139940,65545.892165500001283,23.998408035499999,0,0.000000000000000,99.0000000,0.0362470
0,2731.2600098,141.5209961,276.2760010,5.1815300,10.1153002,488.6470032,0.0152993,0.000000000000000,0.000000000000000,1,0.000366131381276,1068.0000000,0.3910280
0,2731.2600098,220.1179962,322.5350037,8.0592098,11.8090000,487.4400024,-0.0089209,6502.916261569999733,2.380921713170000,0,0.000000000000000,20979.0000000,7.6810699
0,2731.2600098,906.3740234,1145.4699707,33.1851997,41.9393005,485.5379944,0.0654212,106851.504283000002033,39.121688854600002,1,0.000366131381276,38615.0000000,14.1381998
