province,landArea,romanArea,modArea,rAreaPrc,mAreaPrc,meanElev,meanTpi,roadLength,roadDens,sites,siteDens,modernPop,mPopDens
Achaia,39016.705994600000849,26114.5996094,20658.9003906,66.931840973400000,52.948858351799998,487.9010010,2.3893800,5765532.963729999959469,147.770879594999997,555,0.014224675965100,5233190.0000000,134.126904529999990
Aegyptus,637305.008779000025243,117508.0000000,107846.0000000,18.438267137600000,16.922195575800000,237.7740021,0.0237540,14342233.807299999520183,22.504505079600001,576,0.000903805857581,107002000.0000000,167.897629120000005
Aemilia (Regio VIII),23352.117056800001592,9914.7001953,14193.7998047,42.457393354099999,60.781640354799997,260.7070007,-0.0001130,1350324.454499999992549,57.824498362000000,61,0.002612182863400,4753940.0000000,203.576403306000003
Africa Proconsularis,303543.318840999971144,101787.0000000,90468.3984375,33.532940335699998,29.804114543800001,261.0150146,0.0390644,13937647.012599999085069,45.916500701799997,1208,0.003979662621510,15300900.0000000,50.407632289299997
Alpes Cottiae,9703.789730500000587,3886.2500000,3205.3200684,40.048786174599996,33.031631531400002,1758.1700439,0.2940190,464648.911490999977104,47.883241949300000,21,0.002164102951860,475436.0000000,48.994878620000001
Alpes Graiae,3551.761037260000194,1321.6199951,414.2950134,37.210273474300003,11.664495698900000,2031.3199463,0.7584470,169803.947462000011001,47.808381724100002,7,0.001970853310950,56083.0000000,15.790195176899999
Alpes Maritimae,6556.024625979999655,2169.2800293,2546.7399902,33.088344737200003,38.845796584399999,1197.0600586,0.2292490,275898.242101999989245,42.083161342700002,14,0.002135440422920,781247.0000000,119.164744577999997
Alpes Poeninae,3749.386794420000115,1948.5899658,1623.9599609,51.970897446999999,43.312681512499999,1736.9599609,-0.7297950,237821.704980000009527,63.429493413099998,6,0.001600261677170,352270.0000000,93.954030169500001
Apulia et Calabria (Regio II),26790.333453600000212,17842.0000000,17184.9003906,66.598648467399997,64.145899566300002,287.0029907,0.2022330,2737901.990869999863207,102.197383829000003,170,0.006345572379470,4650160.0000000,173.576040330000012
Aquitania,169871.031798999989405,78942.7031250,73272.8984375,46.472139651500001,43.134428313900003,333.0859985,0.0396708,10061793.291500000283122,59.231954883299998,501,0.002949296267260,11323300.0000000,66.658216413299996
Arabia,88402.064347299994552,34475.3984375,30632.6992188,38.998408795099998,34.651565486499997,584.7219849,0.1063290,4693688.454629999585450,53.094783354699999,214,0.002420757949260,12376900.0000000,140.006911505999994
Asia,119179.754681000005803,67000.3984375,40266.0000000,56.217936189600003,33.785939657100002,676.7069702,0.5399050,9829866.966159999370575,82.479335458199998,461,0.003868106636350,13030900.0000000,109.338201230999999
Baetica,77797.871567199996207,36282.1015625,30094.0000000,46.636367848699997,38.682292193599999,407.5650024,0.0667983,4623062.097570000216365,59.424017706900003,282,0.003624777829000,7602560.0000000,97.721953658199993
Belgica,90208.052951499994379,64385.8007812,63338.8984375,71.374781601699993,70.214239599600006,185.2389984,0.0106720,9952266.507500000298023,110.325699112999999,224,0.002483148595620,17305400.0000000,191.838748689999989
Bithynia et Pontus,65357.367844400003378,26358.8007812,25917.8007812,40.330266732900000,39.655514957299999,711.5300293,0.4123980,3700051.107770000118762,56.612608949900000,181,0.002769389373680,14778600.0000000,226.119877336000002
Britannia,170239.095261999987997,82368.3984375,117461.0000000,48.383949827000002,68.997664619399998,135.1770020,0.2566330,11583568.433700000867248,68.042939348800004,823,0.004834377195990,63384400.0000000,372.325756914999999
Bruttium et Lucania (Regio III),26200.645164000001387,15286.5000000,15677.9003906,58.343983151200000,59.837840986300002,548.2239990,0.6768240,2334746.728310000151396,89.110276243000001,162,0.006183053851770,2583260.0000000,98.595282056200006
Cappadocia,172570.917654999997467,78581.2031250,49099.8007812,45.535600200099999,28.451955548699999,1334.8299561,0.0698822,10570193.293899999931455,61.251301421699999,249,0.001442885066520,9100880.0000000,52.737043550999999
Cilicia,39797.665576400002465,21134.6992188,9092.9804688,53.105374178700004,22.848024719700000,928.2849731,0.3616080,3244146.573890000116080,81.516001677600002,112,0.002814235417530,5393590.0000000,135.525285763999989
Corsica,8723.079075760000705,1118.4300537,4314.1000977,12.821505388100000,49.456161754199996,568.5670166,1.8473901,156342.424641999998130,17.922848490100002,34,0.003897706269160,323234.0000000,37.055034947300001
Creta,8265.390954070000589,4795.5898438,4672.2998047,58.020121134000000,56.528479180900000,485.0580139,4.4090199,818913.410712999990210,99.077395765500000,148,0.017905989060000,597105.0000000,72.241591876100003
Cyprus,9246.370102520000728,6845.2001953,5858.7099609,74.031215703200004,63.362269690500000,295.6440125,1.0183200,1368336.164580000098795,147.986306995000007,68,0.007354237311080,1278000.0000000,138.216401229000013
Cyrene,386416.676502000016626,51141.5000000,44546.8007812,13.234806650399999,11.528177609900000,131.9049988,0.0434601,6023004.347649999894202,15.586812666000000,176,0.000455466885108,2213540.0000000,5.728375959440000
Dacia,119295.570581000007223,46088.6015625,55231.8007812,38.633000000000003,46.298000000000002,464.4129944,0.0034484,6126911.254189999774098,51.359084200300003,225,0.001886071703280,7850650.0000000,65.808394743999997
Dalmatia,91221.230645599993295,45280.8007812,49941.1015625,49.638445415400000,54.747235056000001,757.7470093,0.6654700,6645965.449180000461638,72.855467988599997,137,0.001501843365090,5174880.0000000,56.728899219799999
Epirus,24181.519556899998861,11722.7001953,10768.2001953,48.477930295999997,44.530701100000002,676.6630249,1.1717100,1900840.040629999944940,78.607137825099997,198,0.008188071040540,755910.0000000,31.259822122500001
Etruria (Regio VII),29424.848778499999753,10902.7001953,17778.9003906,37.052697457800001,60.421382364499998,339.9159851,0.2048260,1454342.663759999908507,49.425663143000001,189,0.006423142610610,4721540.0000000,160.460977574999987
Galatia,107298.389125000001513,45463.5000000,33500.3984375,42.371092772899999,31.221716104700000,1099.5200195,-0.0424661,5797974.536539999768138,54.035988646400000,165,0.001537767727410,9406710.0000000,87.668697328199997
Germania Inferior,42730.391619900001388,24897.9003906,34730.5000000,58.267428513399999,81.278216003599994,134.4960022,0.0073399,3769438.729720000177622,88.214467193499999,117,0.002738098003890,20454600.0000000,478.689738722000016
Germania Superior,98257.413608899994870,51291.8984375,66354.1015625,52.201555642099997,67.530885584499998,519.8590088,0.0209474,6981550.569419999606907,71.053677407099997,245,0.002493450529600,25973300.0000000,264.339341389000026
Hispania Citerior,385102.448034000000916,204023.0000000,150644.0000000,52.978889394600003,39.117902461800000,750.1149902,0.1333620,27344438.103999998420477,71.005620046299995,583,0.001513882871890,37127700.0000000,96.409929849899996
Iudaea,17536.891825800001243,13451.5000000,14200.0000000,76.704014221099996,80.972159382900003,263.6709900,0.1145490,2320224.328110000118613,132.305333872999995,230,0.013115208914100,12977100.0000000,739.988598259000014
Latium et Campania (Regio I),18128.311372000000119,13960.7998047,11952.5996094,77.011032733299999,65.933331373800002,458.5759888,0.7194340,2604575.130530000198632,143.674448054000010,438,0.024161103095200,10327500.0000000,569.689023322000025
Liguria (Regio IX),13770.313478100000793,6340.8300781,8299.2802734,46.047100439700003,60.269363414499999,509.1099854,0.5042930,908770.013625000021420,65.994867514800006,38,0.002759559545280,2598270.0000000,188.686336307999994
Lugdunensis,159417.522001000004821,102056.0000000,88657.6015625,64.018056935600001,55.613461086100003,168.1799927,0.1053090,15220115.848999999463558,95.473293386799995,260,0.001630937407230,27134200.0000000,170.208391521000010
Lusitania,120495.381781999996747,69493.6015625,53962.3984375,57.673248994900000,44.783789751500002,415.9400024,0.1123980,9357629.332469999790192,77.659651300199997,185,0.001535328551720,8376220.0000000,69.514863359299994
Lycia et Pamphylia,24523.246293500000320,19265.9003906,8855.5898438,78.561786478200005,36.111001528000003,976.4370117,0.7428080,3704795.649170000106096,151.072806789999987,155,0.006320533511140,2533690.0000000,103.317887431000003
Macedonia,80841.190063799993368,37502.3007812,38466.6015625,46.390089942600000,47.582923423200000,630.3489990,0.3428200,5183370.157920000143349,64.117934852600001,341,0.004218146711240,6523820.0000000,80.699207852499995
Mauretania Caesariensis,204810.616433999995934,70858.3984375,61868.6015625,34.597033919099999,30.207712197599999,687.2230225,0.1807330,10421880.296000000089407,50.885449580000000,450,0.002197151728920,32223300.0000000,157.332176236999999
Mauretania Tingitana,51498.665464400000928,9379.4199219,16332.2001953,18.212937825299999,31.713831898399999,453.4339905,0.4142390,1245569.527890000026673,24.186442826400000,97,0.001883543954490,11338600.0000000,220.172695694999987
Moesia Inferior,64113.799510600001668,35591.0000000,31646.5996094,55.512230240100003,49.360043939000001,230.8070068,0.0774190,5250852.707019999623299,81.898947607200000,166,0.002589146194220,3153180.0000000,49.180987931899999
Moesia Superior,56878.919901599998411,28401.5000000,29286.3007812,49.933261829000003,51.488848297300002,564.7750244,-0.0043316,4024084.166220000013709,70.748252132499999,160,0.002812992937920,6458050.0000000,113.540306517000005
